pasajeros;población;semanaSanta
7577143.000000;40202160.000000;0.000000
7765451.000000;40226962.583333;0.000000
9484945.000000;40251765.166667;0.000000
9966589.000000;40276567.750000;1.000000
11346111.000000;40301370.333333;0.000000
11666163.000000;40326172.916667;0.000000
13262857.000000;40350975.500000;0.000000
13589850.000000;40375778.083333;0.000000
12907187.000000;40400580.666667;0.000000
12353793.000000;40425383.250000;0.000000
9076751.000000;40450185.833333;0.000000
8074356.000000;40474988.416667;0.000000
7852528.000000;40499791.000000;0.000000
8414288.000000;40551211.916667;0.000000
10556438.000000;40602632.833333;0.000000
11776244.000000;40654053.750000;1.000000
12340647.000000;40705474.666667;0.000000
13055212.000000;40756895.583333;0.000000
14700970.000000;40808316.500000;0.000000
14671662.000000;40859737.416667;0.000000
14248927.000000;40911158.333333;0.000000
13178638.000000;40962579.250000;0.000000
9526949.000000;41014000.166667;0.000000
9008436.000000;41065421.083333;0.000000
8699717.000000;41116842.000000;0.000000
8976911.000000;41176929.666667;0.000000
11004885.000000;41237017.333333;0.000000
12326601.000000;41297105.000000;1.000000
12742108.000000;41357192.666667;0.000000
13732774.000000;41417280.333333;0.000000
15045618.000000;41477368.000000;0.000000
15575832.000000;41537455.666667;0.000000
14666766.000000;41597543.333333;0.000000
12567340.000000;41657631.000000;0.000000
9239062.000000;41717718.666667;0.000000
8543637.000000;41777806.333333;0.000000
8291886.000000;41837894.000000;0.000000
8864782.000000;41911158.166667;0.000000
11213918.000000;41984422.333333;1.000000
11226113.000000;42057686.500000;0.000000
12329077.000000;42130950.666667;0.000000
13184755.000000;42204214.833333;0.000000
14692371.000000;42277479.000000;0.000000
15701144.000000;42350743.166667;0.000000
14285843.000000;42424007.333333;0.000000
12840677.000000;42497271.500000;0.000000
9779573.000000;42570535.666667;0.000000
9181901.000000;42643799.833333;0.000000
9130707.000000;42717064.000000;0.000000
9382306.000000;42757115.666667;0.000000
11149128.000000;42797167.333333;0.000000
12295011.000000;42837219.000000;1.000000
13239444.000000;42877270.666667;0.000000
14285542.000000;42917322.333333;0.000000
15829274.000000;42957374.000000;0.000000
17308185.000000;42997425.666667;0.000000
14998550.000000;43037477.333333;0.000000
13803356.000000;43077529.000000;0.000000
10719982.000000;43117580.666667;0.000000
10090647.000000;43157632.333333;0.000000
9810973.000000;43197684.000000;0.000000
10845532.000000;43273587.833333;0.000000
12275252.000000;43349491.666667;0.000000
13151660.000000;43425395.500000;1.000000
14209594.000000;43501299.333333;0.000000
15153907.000000;43577203.166667;0.000000
17096529.000000;43653107.000000;0.000000
18215255.000000;43729010.833333;0.000000
16066956.000000;43804914.666667;0.000000
15114135.000000;43880818.500000;0.000000
11435691.000000;43956722.333333;0.000000
11013871.000000;44032626.166667;0.000000
10777254.000000;44108530.000000;0.000000
11169907.000000;44158566.166667;0.000000
13784076.000000;44208602.333333;1.000000
13860249.000000;44258638.500000;0.000000
15809170.000000;44308674.666667;0.000000
16548291.000000;44358710.833333;0.000000
19135330.000000;44408747.000000;0.000000
19803141.000000;44458783.166667;0.000000
17714000.000000;44508819.333333;0.000000
16410579.000000;44558855.500000;0.000000
12650989.000000;44608891.666667;0.000000
11980933.000000;44658927.833333;0.000000
11616364.000000;44708964.000000;0.000000
11780037.000000;44749945.083333;0.000000
14221384.000000;44790926.166667;0.000000
15976213.000000;44831907.250000;1.000000
16889118.000000;44872888.333333;0.000000
17989279.000000;44913869.416667;0.000000
19941633.000000;44954850.500000;0.000000
20579462.000000;44995831.583333;0.000000
18791847.000000;45036812.666667;0.000000
17434743.000000;45077793.750000;0.000000
13491243.000000;45118774.833333;0.000000
13131833.000000;45159755.916667;0.000000
12394848.000000;45200737.000000;0.000000
12856789.000000;45241718.083333;0.000000
15927698.000000;45282699.166667;0.000000
16931407.000000;45323680.250000;1.000000
18035189.000000;45364661.333333;0.000000
19560182.000000;45405642.416667;0.000000
22235723.000000;45446623.500000;0.000000
22725173.000000;45487604.583333;0.000000
20586229.000000;45528585.666667;0.000000
18856399.000000;45569566.750000;0.000000
14866323.000000;45610547.833333;0.000000
14079043.000000;45651528.916667;0.000000
;45692510.000000;0.000000
;45733491.083333;0.000000
;45774472.166667;1.000000
;45815453.250000;0.000000
;45856434.333333;0.000000
;45897415.416667;0.000000
;45938396.500000;0.000000
;45979377.583333;0.000000
;46020358.666667;0.000000
;46061339.750000;0.000000
;46102320.833333;0.000000
;46143301.916667;0.000000
;46184283.000000;0.000000
;46225264.083333;0.000000
;46266245.166667;0.000000
;46307226.250000;1.000000
;46348207.333333;0.000000
;46389188.416667;0.000000
;46430169.500000;0.000000
;46471150.583333;0.000000
;46512131.666667;0.000000
;46553112.750000;0.000000
;46594093.833333;0.000000
;46635074.916667;0.000000
